week,vs,loc,filename,team,player,minutes_played,season
1,AVL,home,West Ham,WHU,Aaron Cresswell,0.0,2425
2,CRY,away,West Ham,WHU,Aaron Cresswell,1.0,2425
3,MCI,home,West Ham,WHU,Aaron Cresswell,0.0,2425
4,FUL,away,West Ham,WHU,Aaron Cresswell,0.0,2425
5,CHE,home,West Ham,WHU,Aaron Cresswell,17.0,2425
6,BRE,away,West Ham,WHU,Aaron Cresswell,0.0,2425
7,IPS,home,West Ham,WHU,Aaron Cresswell,7.0,2425
8,TOT,away,West Ham,WHU,Aaron Cresswell,0.0,2425
9,MUN,home,West Ham,WHU,Aaron Cresswell,1.0,2425
10,NFO,away,West Ham,WHU,Aaron Cresswell,0.0,2425
11,EVE,home,West Ham,WHU,Aaron Cresswell,0.0,2425
12,NEW,away,West Ham,WHU,Aaron Cresswell,0.0,2425
13,ARS,home,West Ham,WHU,Aaron Cresswell,0.0,2425
14,LEI,away,West Ham,WHU,Aaron Cresswell,0.0,2425
15,WOL,home,West Ham,WHU,Aaron Cresswell,2.0,2425
16,BOU,away,West Ham,WHU,Aaron Cresswell,0.0,2425
17,BHA,home,West Ham,WHU,Aaron Cresswell,0.0,2425
18,SOU,away,West Ham,WHU,Aaron Cresswell,22.0,2425
19,LIV,home,West Ham,WHU,Aaron Cresswell,0.0,2425
20,MCI,away,West Ham,WHU,Aaron Cresswell,0.0,2425
21,FUL,home,West Ham,WHU,Aaron Cresswell,9.0,2425
22,CRY,home,West Ham,WHU,Aaron Cresswell,55.0,2425
23,AVL,away,West Ham,WHU,Aaron Cresswell,90.0,2425
24,CHE,away,West Ham,WHU,Aaron Cresswell,86.0,2425
25,BRE,home,West Ham,WHU,Aaron Cresswell,0.0,2425
26,ARS,away,West Ham,WHU,Aaron Cresswell,90.0,2425
27,LEI,home,West Ham,WHU,Aaron Cresswell,90.0,2425
28,NEW,home,West Ham,WHU,Aaron Cresswell,68.0,2425
29,EVE,away,West Ham,WHU,Aaron Cresswell,0.0,2425
30,WOL,away,West Ham,WHU,Aaron Cresswell,45.0,2425
31,BOU,home,West Ham,WHU,Aaron Cresswell,0.0,2425
32,LIV,away,West Ham,WHU,Aaron Cresswell,0.0,2425
33,SOU,home,West Ham,WHU,Aaron Cresswell,0.0,2425
34,BHA,away,West Ham,WHU,Aaron Cresswell,0.0,2425
35,TOT,home,West Ham,WHU,Aaron Cresswell,87.0,2425
36,MUN,away,West Ham,WHU,Aaron Cresswell,90.0,2425
37,NFO,home,West Ham,WHU,Aaron Cresswell,57.0,2425
38,IPS,away,West Ham,WHU,Aaron Cresswell,1.0,2425
1,AVL,home,West Ham,WHU,Aaron Wan-Bissaka,0.0,2425
2,CRY,away,West Ham,WHU,Aaron Wan-Bissaka,28.0,2425
3,MCI,home,West Ham,WHU,Aaron Wan-Bissaka,90.0,2425
4,FUL,away,West Ham,WHU,Aaron Wan-Bissaka,90.0,2425
5,CHE,home,West Ham,WHU,Aaron Wan-Bissaka,90.0,2425
6,BRE,away,West Ham,WHU,Aaron Wan-Bissaka,90.0,2425
