,season,team,week,opponent,home_or_away,player,injured_or_suspended,reason,minutes,xG,xA,xGC,bps,goals,assists,goals_conceded
0,2425,ARS,1,WOL,home,Bukayo Saka,False,n/a,79,0.35,0.37,0.32,42,1,1,0
1,2425,ARS,1,WOL,home,Martin Ødegaard,False,n/a,90,0.02,0.06,0.47,16,0,0,0
2,2425,ARS,1,WOL,home,Kai Havertz,False,n/a,90,0.45,0.04,0.47,48,1,1,0
3,2425,ARS,1,WOL,home,Gabriel Fernando de Jesus,False,n/a,5,0.0,0.0,0.15,1,0,0,0
4,2425,ARS,1,WOL,home,Gabriel Martinelli Silva,False,n/a,90,0.08,0.19,0.47,16,0,0,0
5,2425,ARS,1,WOL,home,Leandro Trossard,False,n/a,10,0.0,0.0,0.15,2,0,0,0
6,2425,ARS,1,WOL,home,Declan Rice,False,n/a,84,0.09,0.05,0.32,9,0,0,0
7,2425,ARS,1,WOL,home,Benjamin White,False,n/a,90,0.07,0.06,0.47,22,0,0,0
8,2425,ARS,1,WOL,home,Gabriel dos Santos Magalhães,False,n/a,90,0.12,0.02,0.47,22,0,0,0
9,2425,ARS,1,WOL,home,William Saliba,False,n/a,90,0.0,0.0,0.47,26,0,0,0
10,2425,ARS,1,WOL,home,Riccardo Calafiori,False,n/a,0,0.0,0.0,0.0,0,0,0,0
11,2425,ARS,1,WOL,home,Eddie Nketiah,False,n/a,0,0.0,0.0,0.0,0,0,0,0
12,2425,ARS,1,WOL,home,Fábio Ferreira Vieira,False,n/a,0,0.0,0.0,0.0,0,0,0,0
13,2425,ARS,1,WOL,home,Jurriën Timber,False,n/a,21,0.02,0.01,0.15,2,0,0,0
14,2425,ARS,1,WOL,home,David Raya Martin,False,n/a,90,0.0,0.0,0.47,28,0,0,0
15,2425,ARS,1,WOL,home,Jorge Luiz Frello Filho,False,n/a,0,0.0,0.0,0.0,0,0,0,0
16,2425,ARS,1,WOL,home,Jakub Kiwior,False,n/a,0,0.0,0.0,0.0,0,0,0,0
