Unnamed: 0,season,team,week,date,opponent,home_or_away,outcome,player,injured_or_suspended,reason,minutes,xG,xA,xGC,bps,goals,assists,goals_conceded,avg_weeks_last_5,avg_weeks_last_5_injury
8265,2425,CHE,25,2025-02-14T20:00:00Z,BHA,away,loss,Aaron Anselmino,False,,0,0.0,0.0,0.0,0,0,0,0,,
8310,2425,CHE,26,2025-02-22T17:30:00Z,AVL,away,loss,Aaron Anselmino,False,,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0
8356,2425,CHE,27,2025-02-25T20:15:00Z,SOU,home,win,Aaron Anselmino,False,,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0
8402,2425,CHE,28,2025-03-09T14:00:00Z,LEI,home,win,Aaron Anselmino,False,,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0
8449,2425,CHE,29,2025-03-16T13:30:00Z,ARS,away,loss,Aaron Anselmino,False,,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0
8496,2425,CHE,30,2025-04-03T19:00:00Z,TOT,home,win,Aaron Anselmino,False,,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0
8543,2425,CHE,31,2025-04-06T13:00:00Z,BRE,away,draw,Aaron Anselmino,False,,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0
8590,2425,CHE,32,2025-04-13T13:00:00Z,IPS,home,draw,Aaron Anselmino,False,,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0
8637,2425,CHE,33,2025-04-20T13:00:00Z,FUL,away,win,Aaron Anselmino,False,,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0
8684,2425,CHE,34,2025-04-26T11:30:00Z,EVE,home,win,Aaron Anselmino,False,,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0
8731,2425,CHE,35,2025-05-04T15:30:00Z,LIV,home,win,Aaron Anselmino,False,,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0
8778,2425,CHE,36,2025-05-11T11:00:00Z,NEW,away,loss,Aaron Anselmino,False,,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0
8825,2425,CHE,37,2025-05-16T19:15:00Z,MUN,home,win,Aaron Anselmino,False,,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0
8872,2425,CHE,38,2025-05-25T15:00:00Z,NFO,away,win,Aaron Anselmino,False,,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0
24606,2425,WHU,1,2024-08-17T16:30:00Z,AVL,home,loss,Aaron Cresswell,False,,0,0.0,0.0,0.0,0,0,0,0,,
24633,2425,WHU,2,2024-08-24T14:00:00Z,CRY,away,win,Aaron Cresswell,False,,1,0.0,0.0,0.03,3,0,0,0,0.0,0.0
24658,2425,WHU,3,2024-08-31T16:30:00Z,MCI,home,loss,Aaron Cresswell,False,,0,0.0,0.0,0.0,0,0,0,0,0.5,0.5
24685,2425,WHU,4,2024-09-14T14:00:00Z,FUL,away,draw,Aaron Cresswell,False,,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0
24712,2425,WHU,5,2024-09-21T11:30:00Z,CHE,home,loss,Aaron Cresswell,False,,17,0.0,0.01,0.68,3,0,0,0,0.0,0.0
24739,2425,WHU,6,2024-09-28T14:00:00Z,BRE,away,draw,Aaron Cresswell,False,,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0
24766,2425,WHU,7,2024-10-05T14:00:00Z,IPS,home,win,Aaron Cresswell,False,,7,0.03,0.0,0.13,2,0,0,0,0.0,0.0
24793,2425,WHU,8,2024-10-19T11:30:00Z,TOT,away,loss,Aaron Cresswell,False,,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0
24820,2425,WHU,9,2024-10-27T14:00:00Z,MUN,home,win,Aaron Cresswell,False,,1,0.0,0.0,0.1,1,0,0,0,0.0,0.0
24847,2425,WHU,10,2024-11-02T15:00:00Z,NFO,away,loss,Aaron Cresswell,False,,0,0.0,0.0,0.0,0,0,0,0,1.0,1.0
24874,2425,WHU,11,2024-11-09T15:00:00Z,EVE,home,draw,Aaron Cresswell,False,,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0
24903,2425,WHU,12,2024-11-25T20:00:00Z,NEW,away,win,Aaron Cresswell,False,,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0
24931,2425,WHU,13,2024-11-30T17:30:00Z,ARS,home,loss,Aaron Cresswell,False,,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0
24960,2425,WHU,14,2024-12-03T20:15:00Z,LEI,away,loss,Aaron Cresswell,False,,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0
24989,2425,WHU,15,2024-12-09T20:00:00Z,WOL,home,win,Aaron Cresswell,False,,2,0.0,0.06,0.17,5,0,0,0,0.0,0.0
25022,2425,WHU,16,2024-12-16T20:00:00Z,BOU,away,draw,Aaron Cresswell,False,,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0
25052,2425,WHU,17,2024-12-21T15:00:00Z,BHA,home,draw,Aaron Cresswell,False,,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0
25082,2425,WHU,18,2024-12-26T15:00:00Z,SOU,away,win,Aaron Cresswell,False,,22,0.0,0.03,0.4,5,0,0,0,0.0,0.0
25112,2425,WHU,19,2024-12-29T17:15:00Z,LIV,home,loss,Aaron Cresswell,False,,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0
25142,2425,WHU,20,2025-01-04T15:00:00Z,MCI,away,loss,Aaron Cresswell,False,,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0
25172,2425,WHU,21,2025-01-14T19:30:00Z,FUL,home,win,Aaron Cresswell,False,,9,0.0,0.0,0.78,3,0,0,0,0.0,0.0
25202,2425,WHU,22,2025-01-18T15:00:00Z,CRY,home,loss,Aaron Cresswell,False,,55,0.0,0.0,0.28,1,0,0,1,0.0,0.0
25232,2425,WHU,23,2025-01-26T16:30:00Z,AVL,away,draw,Aaron Cresswell,False,,90,0.0,0.28,0.85,6,0,0,1,9.0,9.0
25262,2425,WHU,24,2025-02-03T20:00:00Z,CHE,away,loss,Aaron Cresswell,False,,86,0.08,0.12,1.67,2,0,0,2,9.0,9.0
25294,2425,WHU,25,2025-02-15T15:00:00Z,BRE,home,loss,Aaron Cresswell,False,,0,0.0,0.0,0.0,0,0,0,0,55.0,55.0
25326,2425,WHU,26,2025-02-22T15:00:00Z,ARS,away,win,Aaron Cresswell,False,,90,0.0,0.01,1.22,23,0,0,0,55.0,55.0
25358,2425,WHU,27,2025-02-27T20:00:00Z,LEI,home,win,Aaron Cresswell,False,,90,0.0,0.71,0.38,37,0,0,0,86.0,86.0
25390,2425,WHU,28,2025-03-10T20:00:00Z,NEW,home,loss,Aaron Cresswell,False,,68,0.0,0.0,1.38,5,0,0,1,90.0,90.0
25422,2425,WHU,29,2025-03-15T15:00:00Z,EVE,away,draw,Aaron Cresswell,False,,0,0.0,0.0,0.0,0,0,0,0,86.0,86.0
25454,2425,WHU,30,2025-04-01T18:45:00Z,WOL,away,loss,Aaron Cresswell,False,,45,0.0,0.0,0.46,13,0,0,1,68.0,68.0
25486,2425,WHU,31,2025-04-05T14:00:00Z,BOU,home,draw,Aaron Cresswell,False,,0,0.0,0.0,0.0,0,0,0,0,68.0,68.0
25518,2425,WHU,32,2025-04-13T13:00:00Z,LIV,away,loss,Aaron Cresswell,False,,0,0.0,0.0,0.0,0,0,0,0,45.0,45.0
25550,2425,WHU,33,2025-04-19T14:00:00Z,SOU,home,draw,Aaron Cresswell,False,,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0
25582,2425,WHU,34,2025-04-26T14:00:00Z,BHA,away,loss,Aaron Cresswell,False,,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0
25614,2425,WHU,35,2025-05-04T13:00:00Z,TOT,home,draw,Aaron Cresswell,False,,87,0.0,0.1,0.77,13,0,0,1,0.0,0.0
25646,2425,WHU,36,2025-05-11T13:15:00Z,MUN,away,win,Aaron Cresswell,False,,90,0.0,0.18,2.28,28,0,0,0,0.0,0.0
25677,2425,WHU,37,2025-05-18T13:15:00Z,NFO,home,loss,Aaron Cresswell,False,,57,0.12,0.39,1.41,6,0,0,1,0.0,0.0
25709,2425,WHU,38,2025-05-25T15:00:00Z,IPS,away,win,Aaron Cresswell,False,,1,0.0,0.0,0.04,3,0,0,0,57.0,57.0
4113,2425,BRE,1,2024-08-18T13:00:00Z,CRY,home,win,Aaron Hickey,False,,0,0.0,0.0,0.0,0,0,0,0,,
4142,2425,BRE,2,2024-08-25T15:30:00Z,LIV,away,loss,Aaron Hickey,False,,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0
4172,2425,BRE,3,2024-08-31T14:00:00Z,SOU,home,win,Aaron Hickey,False,,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0
4211,2425,BRE,4,2024-09-14T14:00:00Z,MCI,away,loss,Aaron Hickey,False,,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0
4244,2425,BRE,5,2024-09-21T14:00:00Z,TOT,away,loss,Aaron Hickey,False,,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0
4276,2425,BRE,6,2024-09-28T14:00:00Z,WHU,home,draw,Aaron Hickey,False,,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0
4307,2425,BRE,7,2024-10-05T14:00:00Z,WOL,home,win,Aaron Hickey,False,,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0
4340,2425,BRE,8,2024-10-19T14:00:00Z,MUN,away,loss,Aaron Hickey,False,,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0
4373,2425,BRE,9,2024-10-26T14:00:00Z,IPS,home,win,Aaron Hickey,False,,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0
4407,2425,BRE,10,2024-11-04T20:00:00Z,FUL,away,loss,Aaron Hickey,False,,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0
4444,2425,BRE,11,2024-11-09T15:00:00Z,BOU,home,win,Aaron Hickey,False,,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0
4478,2425,BRE,12,2024-11-23T15:00:00Z,EVE,away,draw,Aaron Hickey,False,,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0
4512,2425,BRE,13,2024-11-30T15:00:00Z,LEI,home,win,Aaron Hickey,False,,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0
4545,2425,BRE,14,2024-12-04T20:15:00Z,AVL,away,loss,Aaron Hickey,False,,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0
4579,2425,BRE,15,2024-12-07T15:00:00Z,NEW,home,win,Aaron Hickey,False,,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0
4613,2425,BRE,16,2024-12-15T19:00:00Z,CHE,away,loss,Aaron Hickey,False,,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0
4647,2425,BRE,17,2024-12-21T15:00:00Z,NFO,home,loss,Aaron Hickey,False,,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0
4681,2425,BRE,18,2024-12-27T19:30:00Z,BHA,away,draw,Aaron Hickey,False,,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0
4716,2425,BRE,19,2025-01-01T17:30:00Z,ARS,home,loss,Aaron Hickey,False,,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0
4751,2425,BRE,20,2025-01-04T15:00:00Z,SOU,away,win,Aaron Hickey,False,,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0
4786,2425,BRE,21,2025-01-14T19:30:00Z,MCI,home,draw,Aaron Hickey,False,,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0
4821,2425,BRE,22,2025-01-18T15:00:00Z,LIV,home,loss,Aaron Hickey,False,,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0
4856,2425,BRE,23,2025-01-26T14:00:00Z,CRY,away,win,Aaron Hickey,False,,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0
4892,2425,BRE,24,2025-02-02T14:00:00Z,TOT,home,loss,Aaron Hickey,False,,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0
4929,2425,BRE,25,2025-02-15T15:00:00Z,WHU,away,win,Aaron Hickey,False,,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0
4967,2425,BRE,26,2025-02-21T20:00:00Z,LEI,away,win,Aaron Hickey,False,,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0
5005,2425,BRE,27,2025-02-26T19:30:00Z,EVE,home,draw,Aaron Hickey,True,injury,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0
5043,2425,BRE,28,2025-03-08T17:30:00Z,AVL,home,loss,Aaron Hickey,True,injury,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0
5082,2425,BRE,29,2025-03-15T17:30:00Z,BOU,away,win,Aaron Hickey,True,injury,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0
5121,2425,BRE,30,2025-04-02T18:45:00Z,NEW,away,loss,Aaron Hickey,True,injury,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0
5160,2425,BRE,31,2025-04-06T13:00:00Z,CHE,home,draw,Aaron Hickey,True,injury,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0
5198,2425,BRE,32,2025-04-12T16:30:00Z,ARS,away,draw,Aaron Hickey,True,injury,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0
5237,2425,BRE,33,2025-04-19T14:00:00Z,BHA,home,win,Aaron Hickey,True,injury,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0
5276,2425,BRE,34,2025-05-01T18:30:00Z,NFO,away,win,Aaron Hickey,True,injury,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0
5315,2425,BRE,35,2025-05-04T13:00:00Z,MUN,home,win,Aaron Hickey,True,injury,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0
5354,2425,BRE,36,2025-05-10T14:00:00Z,IPS,away,win,Aaron Hickey,True,injury,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0
5393,2425,BRE,37,2025-05-18T14:00:00Z,FUL,home,loss,Aaron Hickey,False,,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0
5432,2425,BRE,38,2025-05-25T15:00:00Z,WOL,away,draw,Aaron Hickey,False,,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0
24,2425,ARS,1,2024-08-17T14:00:00Z,WOL,home,win,Aaron Ramsdale,False,,0,0.0,0.0,0.0,0,0,0,0,,
50,2425,ARS,2,2024-08-24T16:30:00Z,AVL,away,win,Aaron Ramsdale,False,,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0
21612,2425,SOU,3,2024-08-31T14:00:00Z,BRE,away,loss,Aaron Ramsdale,False,,90,0.0,0.0,2.78,5,0,0,3,0.0,0.0
21648,2425,SOU,4,2024-09-14T11:30:00Z,MUN,home,loss,Aaron Ramsdale,False,,90,0.0,0.0,2.67,12,0,0,3,0.0,0.0
21685,2425,SOU,5,2024-09-21T14:00:00Z,IPS,home,draw,Aaron Ramsdale,False,,90,0.0,0.0,1.69,15,0,0,1,45.0,45.0
21722,2425,SOU,6,2024-09-30T19:00:00Z,BOU,away,loss,Aaron Ramsdale,False,,90,0.0,0.0,1.38,5,0,0,3,90.0,90.0
21757,2425,SOU,7,2024-10-05T14:00:00Z,ARS,away,loss,Aaron Ramsdale,False,,90,0.0,0.01,2.83,5,0,0,3,90.0,90.0
21794,2425,SOU,8,2024-10-19T14:00:00Z,LEI,home,loss,Aaron Ramsdale,False,,90,0.0,0.0,3.21,-2,0,0,3,90.0,90.0
21831,2425,SOU,9,2024-10-26T14:00:00Z,MCI,away,loss,Aaron Ramsdale,False,,90,0.0,0.0,2.95,24,0,0,1,90.0,90.0
21868,2425,SOU,10,2024-11-02T15:00:00Z,EVE,home,win,Aaron Ramsdale,False,,90,0.0,0.0,1.56,33,0,0,0,90.0,90.0
21905,2425,SOU,11,2024-11-09T15:00:00Z,WOL,away,loss,Aaron Ramsdale,False,,90,0.0,0.0,1.26,5,0,0,2,90.0,90.0
21941,2425,SOU,12,2024-11-24T14:00:00Z,LIV,home,loss,Aaron Ramsdale,False,,0,0.0,0.0,0.0,0,0,0,0,90.0,90.0
21978,2425,SOU,13,2024-11-29T20:00:00Z,BHA,away,draw,Aaron Ramsdale,False,,0,0.0,0.0,0.0,0,0,0,0,90.0,90.0
22015,2425,SOU,14,2024-12-04T19:30:00Z,CHE,home,loss,Aaron Ramsdale,False,,0,0.0,0.0,0.0,0,0,0,0,90.0,90.0
22052,2425,SOU,15,2024-12-07T15:00:00Z,AVL,away,loss,Aaron Ramsdale,False,,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0
22090,2425,SOU,16,2024-12-15T19:00:00Z,TOT,home,loss,Aaron Ramsdale,False,,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0
22128,2425,SOU,17,2024-12-22T14:00:00Z,FUL,away,draw,Aaron Ramsdale,False,,90,0.0,0.0,1.04,31,0,0,0,0.0,0.0
22166,2425,SOU,18,2024-12-26T15:00:00Z,WHU,home,loss,Aaron Ramsdale,False,,90,0.0,0.0,1.81,6,0,0,1,0.0,0.0
22204,2425,SOU,19,2024-12-29T15:00:00Z,CRY,away,loss,Aaron Ramsdale,False,,90,0.0,0.01,2.03,17,0,0,2,0.0,0.0
22242,2425,SOU,20,2025-01-04T15:00:00Z,BRE,home,loss,Aaron Ramsdale,False,,90,0.0,0.0,4.46,0,0,0,5,90.0,90.0
22279,2425,SOU,21,2025-01-16T20:00:00Z,MUN,away,loss,Aaron Ramsdale,False,,90,0.0,0.0,3.2,8,0,0,3,90.0,90.0
22319,2425,SOU,22,2025-01-19T14:00:00Z,NFO,away,loss,Aaron Ramsdale,False,,90,0.0,0.0,2.05,-3,0,0,3,90.0,90.0
22360,2425,SOU,23,2025-01-25T15:00:00Z,NEW,home,loss,Aaron Ramsdale,False,,0,0.0,0.0,0.0,0,0,0,0,90.0,90.0
22400,2425,SOU,24,2025-02-01T15:00:00Z,IPS,away,win,Aaron Ramsdale,False,,90,0.0,0.01,1.84,17,0,0,1,90.0,90.0
22440,2425,SOU,25,2025-02-15T15:00:00Z,BOU,home,loss,Aaron Ramsdale,False,,90,0.0,0.0,1.2,7,0,0,3,90.0,90.0
22480,2425,SOU,26,2025-02-22T15:00:00Z,BHA,home,loss,Aaron Ramsdale,False,,90,0.0,0.0,3.97,7,0,0,4,90.0,90.0
22520,2425,SOU,27,2025-02-25T20:15:00Z,CHE,away,loss,Aaron Ramsdale,False,,90,0.0,0.0,2.56,4,0,0,4,90.0,90.0
22559,2425,SOU,28,2025-03-08T15:00:00Z,LIV,away,loss,Aaron Ramsdale,False,,90,0.0,0.0,4.12,4,0,0,3,90.0,90.0
22599,2425,SOU,29,2025-03-15T15:00:00Z,WOL,home,loss,Aaron Ramsdale,False,,90,0.0,0.0,0.36,1,0,0,2,90.0,90.0
22639,2425,SOU,30,2025-04-02T18:45:00Z,CRY,home,draw,Aaron Ramsdale,False,,90,0.0,0.0,0.74,9,0,0,1,90.0,90.0
22679,2425,SOU,31,2025-04-06T13:00:00Z,TOT,away,loss,Aaron Ramsdale,False,,90,0.0,0.0,2.12,4,0,0,3,90.0,90.0
22720,2425,SOU,32,2025-04-12T14:00:00Z,AVL,home,loss,Aaron Ramsdale,False,,90,0.0,0.0,3.03,34,0,0,3,90.0,90.0
22761,2425,SOU,33,2025-04-19T14:00:00Z,WHU,away,draw,Aaron Ramsdale,False,,90,0.0,0.01,0.91,11,0,0,1,90.0,90.0
22802,2425,SOU,34,2025-04-26T14:00:00Z,FUL,home,loss,Aaron Ramsdale,False,,90,0.0,0.0,2.42,6,0,0,2,90.0,90.0
22843,2425,SOU,35,2025-05-03T14:00:00Z,LEI,away,loss,Aaron Ramsdale,False,,90,0.0,0.0,1.4,4,0,0,2,90.0,90.0
22883,2425,SOU,36,2025-05-10T14:00:00Z,MCI,home,draw,Aaron Ramsdale,False,,90,0.0,0.0,1.82,31,0,0,0,90.0,90.0
22924,2425,SOU,37,2025-05-18T11:00:00Z,EVE,away,loss,Aaron Ramsdale,False,,90,0.0,0.0,2.73,3,0,0,2,90.0,90.0
22965,2425,SOU,38,2025-05-25T15:00:00Z,ARS,home,loss,Aaron Ramsdale,False,,90,0.0,0.0,2.2,12,0,0,2,90.0,90.0
24595,2425,WHU,1,2024-08-17T16:30:00Z,AVL,home,loss,Aaron Wan-Bissaka,False,,0,0.0,0.0,0.0,0,0,0,0,,
24622,2425,WHU,2,2024-08-24T14:00:00Z,CRY,away,win,Aaron Wan-Bissaka,False,,28,0.0,0.0,0.56,4,0,0,0,0.0,0.0
24647,2425,WHU,3,2024-08-31T16:30:00Z,MCI,home,loss,Aaron Wan-Bissaka,False,,90,0.0,0.05,3.0,8,0,0,3,14.0,14.0
24674,2425,WHU,4,2024-09-14T14:00:00Z,FUL,away,draw,Aaron Wan-Bissaka,False,,90,0.0,0.03,1.54,8,0,0,1,28.0,28.0
24701,2425,WHU,5,2024-09-21T11:30:00Z,CHE,home,loss,Aaron Wan-Bissaka,False,,90,0.0,0.29,2.19,1,0,0,3,59.0,59.0
24728,2425,WHU,6,2024-09-28T14:00:00Z,BRE,away,draw,Aaron Wan-Bissaka,False,,90,0.02,0.06,0.37,8,0,0,1,90.0,90.0
24755,2425,WHU,7,2024-10-05T14:00:00Z,IPS,home,win,Aaron Wan-Bissaka,False,,90,0.02,0.09,0.65,11,0,0,1,90.0,90.0
24782,2425,WHU,8,2024-10-19T11:30:00Z,TOT,away,loss,Aaron Wan-Bissaka,False,,90,0.03,0.02,1.92,13,0,0,4,90.0,90.0
24812,2425,WHU,9,2024-10-27T14:00:00Z,MUN,home,win,Aaron Wan-Bissaka,False,,90,0.0,0.04,2.12,8,0,0,1,90.0,90.0
24839,2425,WHU,10,2024-11-02T15:00:00Z,NFO,away,loss,Aaron Wan-Bissaka,False,,90,0.0,0.03,2.17,3,0,0,3,90.0,90.0
24866,2425,WHU,11,2024-11-09T15:00:00Z,EVE,home,draw,Aaron Wan-Bissaka,False,,66,0.0,0.01,1.05,25,0,0,0,90.0,90.0
24894,2425,WHU,12,2024-11-25T20:00:00Z,NEW,away,win,Aaron Wan-Bissaka,False,,90,0.07,0.01,1.69,39,1,0,0,90.0,90.0
24921,2425,WHU,13,2024-11-30T17:30:00Z,ARS,home,loss,Aaron Wan-Bissaka,False,,90,0.45,0.02,3.6,10,1,0,5,90.0,90.0
24948,2425,WHU,14,2024-12-03T20:15:00Z,LEI,away,loss,Aaron Wan-Bissaka,False,,90,0.04,0.2,1.67,0,0,0,3,90.0,90.0
24977,2425,WHU,15,2024-12-09T20:00:00Z,WOL,home,win,Aaron Wan-Bissaka,False,,90,0.0,0.13,1.63,11,0,0,1,90.0,90.0
25006,2425,WHU,16,2024-12-16T20:00:00Z,BOU,away,draw,Aaron Wan-Bissaka,False,,90,0.0,0.08,1.82,23,0,1,1,90.0,90.0
25036,2425,WHU,17,2024-12-21T15:00:00Z,BHA,home,draw,Aaron Wan-Bissaka,False,,90,0.0,0.01,0.94,11,0,0,1,90.0,90.0
25066,2425,WHU,18,2024-12-26T15:00:00Z,SOU,away,win,Aaron Wan-Bissaka,False,,90,0.13,0.21,1.4,39,0,0,0,90.0,90.0
25096,2425,WHU,19,2024-12-29T17:15:00Z,LIV,home,loss,Aaron Wan-Bissaka,False,,90,0.15,0.02,3.15,-8,0,0,5,90.0,90.0
25126,2425,WHU,20,2025-01-04T15:00:00Z,MCI,away,loss,Aaron Wan-Bissaka,False,,90,0.02,0.02,1.91,0,0,0,4,90.0,90.0
25156,2425,WHU,21,2025-01-14T19:30:00Z,FUL,home,win,Aaron Wan-Bissaka,False,,90,0.0,0.12,1.9,17,0,1,2,90.0,90.0
25186,2425,WHU,22,2025-01-18T15:00:00Z,CRY,home,loss,Aaron Wan-Bissaka,False,,90,0.04,0.02,1.32,10,0,0,2,90.0,90.0
25216,2425,WHU,23,2025-01-26T16:30:00Z,AVL,away,draw,Aaron Wan-Bissaka,False,,90,0.0,0.11,0.85,14,0,0,1,90.0,90.0
25246,2425,WHU,24,2025-02-03T20:00:00Z,CHE,away,loss,Aaron Wan-Bissaka,False,,90,0.0,0.01,1.67,-4,0,0,2,90.0,90.0
25280,2425,WHU,25,2025-02-15T15:00:00Z,BRE,home,loss,Aaron Wan-Bissaka,False,,90,0.0,0.02,1.66,9,0,0,1,90.0,90.0
25312,2425,WHU,26,2025-02-22T15:00:00Z,ARS,away,win,Aaron Wan-Bissaka,False,,90,0.03,0.33,1.22,40,0,1,0,90.0,90.0
25344,2425,WHU,27,2025-02-27T20:00:00Z,LEI,home,win,Aaron Wan-Bissaka,False,,90,0.0,0.07,0.38,29,0,0,0,90.0,90.0
25376,2425,WHU,28,2025-03-10T20:00:00Z,NEW,home,loss,Aaron Wan-Bissaka,False,,90,0.0,0.01,1.38,13,0,0,1,90.0,90.0
25406,2425,WHU,29,2025-03-15T15:00:00Z,EVE,away,draw,Aaron Wan-Bissaka,False,,90,0.0,0.03,1.0,10,0,0,1,90.0,90.0
25438,2425,WHU,30,2025-04-01T18:45:00Z,WOL,away,loss,Aaron Wan-Bissaka,False,,90,0.0,0.14,1.18,18,0,0,1,90.0,90.0
25470,2425,WHU,31,2025-04-05T14:00:00Z,BOU,home,draw,Aaron Wan-Bissaka,False,,90,0.0,0.01,2.12,11,0,0,2,90.0,90.0
25502,2425,WHU,32,2025-04-13T13:00:00Z,LIV,away,loss,Aaron Wan-Bissaka,False,,90,0.0,0.15,1.78,19,0,0,2,90.0,90.0
25534,2425,WHU,33,2025-04-19T14:00:00Z,SOU,home,draw,Aaron Wan-Bissaka,False,,0,0.0,0.0,0.0,0,0,0,0,90.0,90.0
25566,2425,WHU,34,2025-04-26T14:00:00Z,BHA,away,loss,Aaron Wan-Bissaka,False,,90,0.14,0.06,1.31,6,0,0,3,90.0,90.0
25600,2425,WHU,35,2025-05-04T13:00:00Z,TOT,home,draw,Aaron Wan-Bissaka,False,,90,0.04,0.07,0.77,23,0,1,1,90.0,90.0
25632,2425,WHU,36,2025-05-11T13:15:00Z,MUN,away,win,Aaron Wan-Bissaka,False,,90,0.0,0.22,2.28,36,0,1,0,90.0,90.0
25664,2425,WHU,37,2025-05-18T13:15:00Z,NFO,home,loss,Aaron Wan-Bissaka,False,,90,0.0,0.02,1.96,8,0,0,2,90.0,90.0
25694,2425,WHU,38,2025-05-25T15:00:00Z,IPS,away,win,Aaron Wan-Bissaka,False,,90,0.0,0.04,0.79,23,0,1,1,90.0,90.0
10155,2425,EVE,1,2024-08-17T14:00:00Z,BHA,home,loss,Abdoulaye Doucouré,False,,62,0.14,0.01,1.13,2,0,0,2,,
10180,2425,EVE,2,2024-08-24T14:00:00Z,TOT,away,loss,Abdoulaye Doucouré,False,,56,0.07,0.0,1.66,3,0,0,2,62.0,62.0
10209,2425,EVE,3,2024-08-31T14:00:00Z,BOU,home,loss,Abdoulaye Doucouré,False,,7,0.0,0.01,1.54,4,0,0,3,59.0,59.0
