,Unnamed: 0,player_id,datetime,minutes,predmin
0,0,236,2024-09-21,0,0
1,1,236,2024-09-28,0,0
2,2,236,2024-10-06,0,0
3,3,236,2024-10-20,0,0
4,4,236,2024-10-27,0,0
5,5,236,2024-11-03,0,0
6,6,236,2024-11-10,0,0
7,7,236,2024-11-23,0,0
8,8,236,2024-12-01,0,0
9,9,236,2024-12-04,0,0
10,10,236,2024-12-08,0,0
11,11,236,2024-12-15,0,0
12,12,236,2024-12-22,0,0
13,13,236,2024-12-26,0,0
14,14,236,2024-12-30,0,0
15,15,236,2025-01-04,0,0
16,16,236,2025-01-14,0,0
17,17,236,2025-01-20,0,0
18,18,236,2025-01-25,0,0
19,19,236,2025-02-03,0,0
20,20,236,2025-02-14,0,0
21,21,236,2025-02-22,0,0
22,22,236,2025-02-25,0,0
23,23,236,2025-03-09,0,0
24,24,236,2025-03-16,0,0
25,25,236,2025-04-03,0,0
26,26,236,2025-04-06,0,0
27,27,236,2025-04-13,0,0
28,28,236,2025-04-20,0,0
29,29,236,2025-04-26,0,0
30,30,236,2025-05-04,0,0
31,31,236,2025-05-11,0,0
32,32,236,2025-05-16,0,0
33,33,236,2023-08-13,0,0
34,34,236,2023-09-17,0,0
35,35,236,2023-09-24,0,0
36,36,236,2023-10-02,0,0
37,37,236,2023-10-07,0,0
38,38,236,2023-10-21,0,0
39,39,236,2023-10-28,0,0
40,40,236,2023-11-06,0,0
41,41,236,2023-11-12,0,0
42,42,236,2023-11-25,0,0
43,43,236,2023-12-03,0,0
44,44,236,2023-12-06,0,0
45,45,236,2023-12-10,0,0
46,46,236,2023-12-16,0,0
47,47,236,2023-12-24,0,0
48,48,236,2023-12-27,0,0
49,49,236,2023-12-30,0,0
50,50,236,2024-01-13,0,0
51,51,236,2024-01-31,0,0
52,52,236,2024-02-04,0,0
53,53,236,2024-02-12,0,0
54,54,236,2024-02-17,0,0
55,55,236,2024-03-02,0,0
56,56,236,2024-03-11,0,0
57,57,236,2024-03-30,0,0
58,58,236,2024-04-04,0,0
