,Unnamed: 0,player_id,datetime,minutes,predmin
0,0,252,2025-01-14,0,0
1,1,252,2025-01-20,0,0
2,2,252,2025-01-25,0,0
3,3,252,2025-02-03,90,0
4,4,252,2025-02-14,90,0
5,5,252,2025-02-22,90,0
6,6,252,2025-02-25,90,0
7,7,252,2025-03-09,0,0
8,8,252,2025-03-16,0,0
9,9,252,2025-04-03,0,0
10,10,252,2025-04-06,0,29
11,11,252,2025-04-13,0,18
12,12,252,2025-04-20,0,19
13,13,252,2025-04-26,0,20
14,14,252,2025-05-04,0,0
15,15,252,2025-05-11,0,28
16,16,252,2025-05-16,0,18
17,17,487,2025-01-14,0,10
18,18,487,2025-01-19,0,10
19,19,487,2025-01-25,0,0
20,20,487,2025-02-02,0,0
21,21,487,2025-02-15,0,0
22,22,487,2025-02-23,0,0
23,23,487,2025-02-26,0,0
24,24,487,2025-03-08,0,10
25,25,487,2025-03-15,0,0
26,26,487,2025-04-02,0,0
27,27,487,2025-04-06,0,0
28,28,487,2025-04-12,0,0
29,29,487,2025-04-19,0,0
30,30,487,2025-04-22,0,0
31,31,487,2025-05-02,0,0
32,32,487,2025-05-10,0,0
33,33,487,2025-05-20,0,0
34,34,487,2023-08-11,0,0
35,35,487,2024-01-31,0,10
36,36,487,2024-02-05,0,0
37,37,487,2024-02-10,0,10
38,38,487,2024-02-17,0,0
39,39,487,2024-02-20,0,0
40,40,487,2024-02-24,0,0
41,41,487,2024-03-03,0,0
42,42,487,2024-03-10,0,0
43,43,487,2024-03-31,0,0
44,44,487,2024-04-03,0,0
45,45,487,2024-04-06,0,0
46,46,487,2024-04-13,0,0
47,47,487,2024-04-25,0,0
48,48,487,2024-04-28,0,0
49,49,487,2024-05-04,0,0
50,50,487,2024-05-11,0,10
51,51,487,2024-05-14,0,0
52,52,487,2024-05-19,0,0
53,53,487,2022-08-07,0,10
54,54,487,2023-02-05,0,0
55,55,487,2023-02-12,0,0
56,56,487,2023-02-15,0,0
57,57,487,2023-02-18,0,0
58,58,487,2023-02-25,0,0
59,59,487,2023-03-04,0,0
60,60,487,2023-03-11,0,0
61,61,487,2023-04-01,0,0
62,62,487,2023-04-08,0,0
63,63,487,2023-04-15,0,0
64,64,487,2023-04-26,0,0
65,65,487,2023-04-30,0,0
66,66,487,2023-05-03,0,0
67,67,487,2023-05-06,0,0
68,68,487,2023-05-14,0,0
69,69,487,2023-05-21,0,0
70,70,487,2023-05-24,0,0
71,71,487,2023-05-28,0,0
72,72,448,2025-04-13,90,64
73,73,448,2025-04-20,90,61
74,74,448,2025-04-27,90,64
75,75,448,2025-05-04,90,61
76,76,448,2025-05-11,90,58
77,77,448,2025-05-19,90,62
78,78,448,2023-08-13,90,59
79,79,448,2024-02-04,90,68
80,80,448,2024-04-14,90,66
81,81,448,2024-04-21,90,66
82,82,448,2024-04-24,90,67
83,83,448,2024-04-27,90,63
84,84,448,2024-05-05,90,67
85,85,448,2024-05-13,90,69
86,86,448,2024-05-19,90,68
87,87,448,2022-08-06,90,69
88,88,448,2023-02-13,90,65
89,89,448,2023-02-18,90,63
90,90,448,2023-02-25,90,67
91,91,448,2023-03-01,90,65
92,92,448,2023-03-05,90,66
93,93,448,2023-03-11,90,76
94,94,448,2023-04-01,90,77
95,95,448,2023-04-04,90,73
96,96,448,2023-04-09,90,71
97,97,448,2023-04-17,90,69
98,98,448,2023-04-22,90,68
99,99,448,2023-04-26,90,67
100,100,448,2023-04-30,90,64
101,101,448,2023-05-03,90,66
102,102,448,2023-05-06,90,66
103,103,448,2023-05-15,90,68
104,104,448,2023-05-20,90,66
105,105,448,2023-05-28,0,65
106,106,326,2025-01-25,0,0
107,107,326,2025-02-01,0,0
108,108,326,2025-02-12,0,0
109,109,326,2025-02-15,0,0
110,110,326,2025-02-22,0,0
111,111,326,2025-02-26,0,0
112,112,326,2025-03-08,0,10
113,113,326,2025-03-15,0,0
114,114,326,2025-04-02,0,0
115,115,326,2025-04-05,0,0
116,116,326,2025-04-12,0,0
117,117,326,2025-04-19,0,0
118,118,326,2025-04-26,0,0
119,119,326,2025-05-03,0,0
120,120,326,2025-05-10,0,0
121,121,326,2025-05-18,0,0
122,122,326,2022-08-06,0,0
123,123,326,2023-02-04,0,0
124,124,326,2023-02-13,0,0
125,125,326,2023-02-18,0,0
126,126,326,2023-02-25,0,33
127,127,326,2023-03-01,0,19
128,128,326,2023-03-05,0,19
129,129,326,2023-03-11,0,20
130,130,326,2023-03-18,0,0
131,131,326,2023-04-03,0,0
132,132,326,2023-04-08,0,0
133,133,326,2023-04-15,0,0
134,134,326,2023-04-22,0,0
135,135,326,2023-04-27,0,0
136,136,326,2023-05-01,0,0
137,137,326,2023-05-08,0,0
138,138,326,2023-05-14,0,0
139,139,326,2023-05-20,0,0
140,140,326,2023-05-28,0,0
141,141,781,2025-01-15,90,28
142,142,781,2025-01-20,90,17
143,143,781,2025-01-25,90,0
144,144,781,2025-02-01,90,0
145,145,781,2025-02-16,90,28
146,146,781,2025-02-22,90,37
147,147,781,2025-02-25,90,48
148,148,781,2025-03-08,90,61
149,149,781,2025-03-15,90,61
150,150,781,2025-04-01,90,56
151,151,781,2025-04-05,90,55
152,152,781,2025-04-13,90,37
153,153,781,2025-04-20,0,28
154,154,781,2025-04-26,90,48
155,155,781,2025-05-02,90,49
156,156,781,2025-05-10,90,55
157,157,781,2025-05-20,0,60
158,158,781,2023-08-14,90,57
159,159,781,2024-01-22,90,69
160,160,781,2024-02-01,90,67
161,161,781,2024-02-04,90,67
162,162,781,2024-02-10,90,66
163,163,781,2024-02-17,90,63
164,164,781,2024-02-25,90,64
165,165,781,2024-03-02,45,61
166,166,781,2024-03-09,90,60
167,167,781,2024-03-30,90,60
168,168,781,2024-04-02,90,60
169,169,781,2024-04-06,90,46
170,170,781,2024-04-13,90,32
171,171,781,2024-04-20,90,44
172,172,781,2024-04-24,90,21
173,173,781,2024-04-27,90,40
174,174,781,2024-05-04,90,53
175,175,781,2024-05-11,0,51
176,176,781,2024-05-19,90,66
177,177,781,2022-08-06,90,65
178,178,781,2023-02-04,90,66
179,179,781,2023-02-11,90,67
180,180,781,2023-02-18,90,65
181,181,781,2023-02-24,90,66
182,182,781,2023-03-01,90,62
183,183,781,2023-03-04,90,62
184,184,781,2023-03-12,90,68
185,185,781,2023-03-18,90,65
186,186,781,2023-04-01,90,62
187,187,781,2023-04-08,90,63
188,188,781,2023-04-15,90,62
189,189,781,2023-04-22,90,61
190,190,781,2023-04-25,90,63
191,191,781,2023-04-29,90,65
192,192,781,2023-05-06,90,61
193,193,781,2023-05-13,0,66
194,194,781,2023-05-20,0,63
195,195,781,2023-05-28,90,63
196,196,74,2025-01-26,0,0
197,197,74,2025-02-01,0,0
198,198,74,2025-02-15,0,0
199,199,74,2025-02-19,0,0
200,200,74,2025-02-22,0,0
201,201,74,2025-02-25,0,0
202,202,74,2025-03-08,0,0
203,203,74,2025-04-02,0,0
204,204,74,2025-04-05,0,0
205,205,74,2025-04-12,0,0
206,206,74,2025-04-19,0,0
207,207,74,2025-04-22,0,0
208,208,74,2025-05-03,0,0
209,209,74,2025-05-10,0,0
210,210,74,2025-05-16,0,0
211,211,74,2023-08-27,0,0
212,212,74,2024-02-03,0,0
213,213,74,2024-02-11,0,0
214,214,74,2024-02-17,0,0
215,215,74,2024-02-24,0,0
216,216,74,2024-03-02,0,0
217,217,74,2024-03-10,0,0
218,218,74,2024-03-17,0,0
219,219,74,2024-03-30,0,0
220,220,74,2024-04-03,0,0
221,221,74,2024-04-06,0,0
222,222,74,2024-04-14,0,0
223,223,74,2024-04-21,0,0
224,224,74,2024-04-27,0,0
225,225,74,2024-05-05,0,0
226,226,74,2024-05-13,0,0
227,227,74,2024-05-19,0,0
228,228,74,2023-02-12,0,0
229,229,606,2025-01-14,0,0
230,230,606,2025-01-19,0,0
231,231,606,2025-01-25,0,0
232,232,606,2025-02-01,0,0
233,233,606,2025-02-15,0,0
234,234,606,2025-02-23,0,0
235,235,606,2025-02-26,0,0
236,236,606,2025-03-08,0,0
237,237,606,2025-03-15,0,0
238,238,606,2025-04-01,0,0
239,239,606,2025-04-05,0,0
240,240,606,2025-04-12,0,0
241,241,606,2025-04-21,0,0
242,242,606,2025-05-01,0,0
243,243,606,2025-05-05,0,0
244,244,606,2025-05-11,0,0
245,245,606,2025-05-18,0,0
246,246,763,2025-01-15,0,0
247,247,763,2025-01-20,0,0
248,248,763,2025-01-25,0,0
249,249,763,2025-02-01,0,0
250,250,763,2025-02-16,0,0
251,251,763,2025-02-22,0,0
252,252,763,2025-02-25,0,0
253,253,763,2025-03-08,0,0
254,254,763,2025-03-15,0,0
255,255,763,2025-04-01,0,0
256,256,763,2025-04-05,0,0
257,257,763,2025-04-13,0,0
258,258,763,2025-04-20,90,0
259,259,763,2025-04-26,0,0
260,260,763,2025-05-02,0,0
261,261,763,2025-05-10,0,0
262,262,763,2025-05-20,90,0
263,263,763,2023-08-14,0,0
264,264,763,2024-01-22,0,0
265,265,763,2024-02-01,0,0
266,266,763,2024-02-04,0,0
267,267,763,2024-02-10,0,0
268,268,763,2024-02-17,0,0
269,269,763,2024-02-25,0,0
270,270,763,2024-03-02,45,0
271,271,763,2024-03-09,0,0
272,272,763,2024-03-30,0,0
273,273,763,2024-04-02,0,0
274,274,763,2024-04-06,0,29
275,275,763,2024-04-13,0,43
276,276,763,2024-04-20,0,29
277,277,763,2024-04-24,0,49
278,278,763,2024-04-27,0,31
279,279,763,2024-05-04,0,18
280,280,763,2024-05-11,90,18
281,281,763,2024-05-19,0,0
282,282,763,2023-02-04,0,0
283,283,490,2025-02-23,90,69
284,284,490,2025-02-26,90,61
285,285,490,2025-03-08,90,61
286,286,490,2025-04-02,90,59
287,287,490,2025-04-06,90,56
288,288,490,2025-04-12,70,62
289,289,490,2025-05-02,90,64
290,290,490,2025-05-10,90,63
291,291,490,2025-05-20,90,60
292,292,490,2023-08-11,90,39
293,293,490,2024-01-31,90,66
294,294,490,2024-02-05,90,63
295,295,490,2024-02-10,90,65
296,296,490,2024-02-17,90,62
297,297,490,2024-02-20,90,61
298,298,490,2024-02-24,90,41
299,299,490,2024-03-03,90,55
300,300,490,2024-03-10,55,54
301,301,490,2024-04-06,0,54
302,302,490,2024-04-13,90,65
303,303,490,2024-04-25,90,62
304,304,490,2024-04-28,45,65
305,305,490,2024-05-04,90,62
306,306,490,2024-05-11,90,60
307,307,490,2024-05-14,68,64
308,308,490,2024-05-19,0,65
309,309,490,2022-08-07,90,45
310,310,490,2023-02-05,90,62
311,311,490,2023-02-12,90,65
