minutes,predmin,datetime,player_id
90,0.0,2025-01-19,508
90,90.0,2025-01-25,508
0,90.0,2025-02-02,508
86,0.0,2025-02-15,508
13,86.0,2025-02-23,508
1,13.0,2025-02-26,508
0,1.0,2025-03-08,508
90,0.0,2025-03-15,508
90,90.0,2025-04-02,508
73,90.0,2025-04-06,508
90,73.0,2025-04-12,508
90,90.0,2025-04-19,508
90,90.0,2025-04-22,508
83,90.0,2025-05-02,508
0,83.0,2025-05-10,508
90,0.0,2025-05-20,508
77,90.0,2022-08-07,508
6,77.0,2023-02-05,508
90,6.0,2023-02-12,508
90,90.0,2023-02-15,508
90,90.0,2023-02-18,508
54,90.0,2023-02-25,508
90,54.0,2023-03-04,508
90,90.0,2023-03-11,508
90,90.0,2023-04-01,508
90,90.0,2023-04-08,508
0,90.0,2023-04-15,508
71,0.0,2023-04-26,508
90,71.0,2023-04-30,508
0,90.0,2023-05-03,508
90,0.0,2023-05-06,508
77,90.0,2023-05-14,508
0,77.0,2023-05-21,508
90,0.0,2023-05-24,508
0,90.0,2023-05-28,508
89,0.0,2025-03-16,11
90,89.0,2025-04-01,11
19,90.0,2025-04-05,11
28,19.0,2025-04-12,11
90,28.0,2025-04-20,11
85,90.0,2025-04-23,11
90,85.0,2025-05-03,11
90,90.0,2025-05-11,11
90,90.0,2025-05-18,11
90,90.0,2023-08-12,11
90,90.0,2024-02-04,11
90,90.0,2024-02-11,11
90,90.0,2024-02-17,11
75,90.0,2024-02-24,11
90,75.0,2024-03-04,11
90,90.0,2024-03-09,11
90,90.0,2024-03-31,11
90,90.0,2024-04-03,11
88,90.0,2024-04-06,11
78,88.0,2024-04-14,11
90,78.0,2024-04-20,11
90,90.0,2024-04-23,11
88,90.0,2024-04-28,11
90,88.0,2024-05-04,11
90,90.0,2024-05-12,11
90,90.0,2024-05-19,11
90,90.0,2022-08-05,11
90,90.0,2023-02-11,11
90,90.0,2023-02-15,11
90,90.0,2023-02-18,11
83,90.0,2023-02-25,11
90,83.0,2023-03-01,11
90,90.0,2023-03-04,11
90,90.0,2023-03-12,11
90,90.0,2023-03-19,11
84,90.0,2023-04-01,11
79,84.0,2023-04-09,11
89,79.0,2023-04-16,11
90,89.0,2023-04-21,11
70,90.0,2023-04-26,11
90,70.0,2023-05-02,11
79,90.0,2023-05-07,11
76,79.0,2023-05-14,11
90,76.0,2023-05-20,11
74,90.0,2023-05-28,11
0,74.0,2025-01-16,639
0,0.0,2025-01-19,639
0,0.0,2025-01-25,639
0,0.0,2025-02-01,639
0,0.0,2025-02-15,639
0,0.0,2025-02-22,639
0,0.0,2025-02-25,639
0,0.0,2025-03-08,639
0,0.0,2025-03-15,639
0,0.0,2025-04-02,639
0,0.0,2025-04-06,639
0,0.0,2025-04-12,639
0,0.0,2025-04-19,639
0,0.0,2025-04-26,639
0,0.0,2025-05-03,639
0,0.0,2025-05-10,639
0,0.0,2025-05-18,639
3,0.0,2023-05-28,639
0,3.0,2025-02-01,796
0,0.0,2025-02-16,796
0,0.0,2025-02-22,796
0,0.0,2025-02-25,796
0,0.0,2025-03-08,796
0,0.0,2025-03-15,796
0,0.0,2025-04-01,796
0,0.0,2025-04-05,796
0,0.0,2025-04-13,796
0,0.0,2025-04-20,796
1,0.0,2025-04-26,796
0,1.0,2025-05-02,796
0,0.0,2025-05-10,796
0,0.0,2025-05-20,796
0,0.0,2025-01-15,265
0,0.0,2025-01-18,265
0,0.0,2025-01-26,265
0,0.0,2025-02-02,265
0,0.0,2025-02-15,265
0,0.0,2025-02-22,265
0,0.0,2025-02-25,265
0,0.0,2025-03-08,265
0,0.0,2025-04-02,265
0,0.0,2025-04-05,265
0,0.0,2025-04-12,265
0,0.0,2025-04-16,265
0,0.0,2025-04-19,265
0,0.0,2025-04-23,265
0,0.0,2025-05-05,265
0,0.0,2025-05-11,265
0,0.0,2025-05-20,265
0,0.0,2023-08-12,265
14,0.0,2024-01-20,265
0,14.0,2024-01-30,265
10,0.0,2024-02-03,265
11,10.0,2024-02-12,265
18,11.0,2024-02-19,265
24,18.0,2024-02-24,265
0,24.0,2024-03-02,265
20,0.0,2024-03-09,265
0,20.0,2024-03-30,265
0,0.0,2024-04-02,265
8,0.0,2024-04-06,265
0,8.0,2024-04-14,265
29,0.0,2024-04-21,265
0,29.0,2024-04-24,265
5,0.0,2024-04-27,265
0,5.0,2024-05-06,265
70,0.0,2024-05-11,265
0,70.0,2024-05-19,265
8,0.0,2023-02-04,265
65,8.0,2025-01-18,576
90,65.0,2025-01-25,576
86,90.0,2025-02-01,576
90,86.0,2025-02-15,576
69,90.0,2025-02-23,576
90,69.0,2025-02-26,576
90,90.0,2025-03-10,576
65,90.0,2025-04-02,576
71,65.0,2025-04-07,576
77,71.0,2025-04-13,576
61,77.0,2025-04-16,576
64,61.0,2025-04-19,576
66,64.0,2025-04-26,576
55,66.0,2025-05-04,576
90,55.0,2025-05-11,576
62,90.0,2025-05-18,576
4,62.0,2023-08-12,576
64,4.0,2024-04-24,576
65,64.0,2024-04-27,576
68,65.0,2024-05-04,576
67,68.0,2024-05-11,576
61,67.0,2024-05-15,576
67,61.0,2024-05-19,576
1,67.0,2022-08-06,576
9,1.0,2023-02-04,576
9,9.0,2023-02-11,576
26,9.0,2023-02-18,576
13,26.0,2023-03-04,576
84,13.0,2023-03-12,576
83,84.0,2023-03-17,576
67,83.0,2023-04-02,576
63,67.0,2023-04-05,576
45,63.0,2023-04-08,576
55,45.0,2023-04-15,576
65,55.0,2023-04-23,576
22,65.0,2023-04-27,576
68,22.0,2023-04-30,576
64,68.0,2023-05-07,576
0,64.0,2023-05-13,576
0,0.0,2023-05-18,576
13,0.0,2023-05-22,576
21,13.0,2023-05-28,576
90,21.0,2025-01-16,370
0,90.0,2025-01-19,370
11,0.0,2025-01-25,370
61,11.0,2025-02-01,370
0,61.0,2025-02-15,370
22,0.0,2025-02-22,370
24,22.0,2025-02-26,370
15,24.0,2025-03-08,370
10,15.0,2025-03-15,370
71,10.0,2025-04-02,370
64,71.0,2025-04-05,370
14,64.0,2025-04-13,370
0,14.0,2025-04-20,370
0,0.0,2025-04-26,370
0,0.0,2025-05-03,370
0,0.0,2025-05-10,370
19,0.0,2025-05-18,370
0,19.0,2025-01-18,454
0,0.0,2025-01-25,454
0,0.0,2025-02-01,454
2,0.0,2025-02-12,454
63,2.0,2025-02-16,454
65,63.0,2025-02-19,454
0,65.0,2025-02-23,454
61,0.0,2025-02-26,454
22,61.0,2025-03-08,454
74,22.0,2025-04-02,454
66,74.0,2025-04-06,454
59,66.0,2025-04-13,454
30,59.0,2025-04-20,454
22,30.0,2025-04-27,454
57,22.0,2025-05-04,454
11,57.0,2025-05-11,454
0,11.0,2025-05-19,454
65,0.0,2023-08-13,454
90,65.0,2024-01-21,454
67,90.0,2024-01-31,454
90,67.0,2024-02-04,454
90,90.0,2024-02-10,454
43,90.0,2024-02-17,454
0,43.0,2024-02-21,454
0,0.0,2024-03-02,454
0,0.0,2024-03-10,454
0,0.0,2024-03-31,454
0,0.0,2024-04-04,454
0,0.0,2024-04-07,454
24,0.0,2024-04-14,454
73,24.0,2024-04-21,454
0,73.0,2024-04-24,454
0,0.0,2024-04-27,454
0,0.0,2024-05-05,454
0,0.0,2024-05-13,454
0,0.0,2024-05-19,454
0,0.0,2022-08-06,454
20,0.0,2023-02-13,454
31,20.0,2023-02-18,454
70,31.0,2023-02-25,454
75,70.0,2023-03-01,454
12,75.0,2023-03-05,454
45,12.0,2023-03-11,454
69,45.0,2023-04-01,454
90,69.0,2023-04-04,454
60,90.0,2023-04-09,454
81,60.0,2023-04-17,454
80,81.0,2023-04-22,454
58,80.0,2023-04-26,454
27,58.0,2023-04-30,454
7,27.0,2023-05-03,454
72,7.0,2023-05-06,454
16,72.0,2023-05-15,454
27,16.0,2023-05-20,454
90,27.0,2023-05-28,454
45,90.0,2025-01-15,700
72,45.0,2025-01-19,700
53,72.0,2025-01-26,700
22,53.0,2025-02-02,700
26,22.0,2025-02-16,700
0,26.0,2025-02-22,700
23,0.0,2025-02-26,700
90,23.0,2025-03-09,700
0,90.0,2025-03-16,700
26,0.0,2025-04-03,700
33,26.0,2025-04-06,700
54,33.0,2025-04-13,700
80,54.0,2025-04-21,700
45,80.0,2025-04-27,700
90,45.0,2025-05-04,700
90,90.0,2025-05-11,700
52,90.0,2025-05-16,700
15,52.0,2023-08-13,700
26,15.0,2024-02-03,700
79,26.0,2024-02-10,700
70,79.0,2024-02-17,700
8,70.0,2024-03-02,700
69,8.0,2024-03-10,700
65,69.0,2024-03-16,700
67,65.0,2024-03-30,700
20,67.0,2024-04-02,700
45,20.0,2024-04-07,700
33,45.0,2024-04-13,700
45,33.0,2024-04-28,700
62,45.0,2024-05-02,700
74,62.0,2024-05-05,700
87,74.0,2024-05-11,700
84,87.0,2024-05-14,700
65,84.0,2024-05-19,700
0,65.0,2022-08-06,700
0,0.0,2023-01-23,700
0,0.0,2023-02-05,700
25,0.0,2023-02-11,700
1,25.0,2023-02-19,700
0,1.0,2023-02-26,700
0,0.0,2023-03-04,700
1,0.0,2023-03-11,700
4,1.0,2023-03-18,700
0,4.0,2023-04-03,700
2,0.0,2023-04-08,700
0,2.0,2023-04-15,700
22,0.0,2023-04-23,700
0,22.0,2023-04-27,700
24,0.0,2023-04-30,700
0,24.0,2023-05-06,700
0,0.0,2023-05-13,700
0,0.0,2023-05-20,700
23,0.0,2023-05-28,700
90,23.0,2025-01-14,86
90,90.0,2025-01-18,86
90,90.0,2025-01-25,86
79,90.0,2025-02-01,86
87,79.0,2025-02-15,86
59,87.0,2025-02-22,86
25,59.0,2025-02-25,86
70,25.0,2025-03-09,86
66,70.0,2025-03-15,86
57,66.0,2025-04-02,86
0,57.0,2025-04-05,86
0,0.0,2025-04-14,86
0,0.0,2025-04-19,86
0,0.0,2025-04-27,86
0,0.0,2025-05-03,86
0,0.0,2025-05-10,86
0,0.0,2025-05-20,86
66,0.0,2023-08-12,86
90,66.0,2024-02-01,86
55,90.0,2024-02-04,86
90,55.0,2024-02-10,86
90,90.0,2024-02-17,86
87,90.0,2024-02-24,86
45,87.0,2024-03-03,86
73,45.0,2024-03-09,86
90,73.0,2024-03-13,86
0,90.0,2024-03-30,86
90,0.0,2024-04-02,86
90,90.0,2024-04-06,86
90,90.0,2024-04-13,86
75,90.0,2024-04-21,86
90,75.0,2024-04-24,86
23,90.0,2024-04-28,86
90,23.0,2024-05-04,86
80,90.0,2024-05-11,86
90,80.0,2024-05-19,86
4,90.0,2022-08-06,86
29,4.0,2023-02-04,86
0,29.0,2023-02-11,86
0,0.0,2023-02-18,86
0,0.0,2023-02-25,86
8,0.0,2023-03-04,86
20,8.0,2023-03-11,86
0,20.0,2023-03-18,86
45,0.0,2023-04-01,86
57,45.0,2023-04-04,86
90,57.0,2023-04-08,86
65,90.0,2023-04-15,86
60,65.0,2023-04-23,86
90,60.0,2023-04-27,86
90,90.0,2023-04-30,86
83,90.0,2023-05-06,86
59,83.0,2023-05-13,86
65,59.0,2023-05-20,86
64,65.0,2023-05-28,86
64,64.0,2025-04-19,203
81,64.0,2025-04-26,203
90,81.0,2025-05-04,203
58,90.0,2025-05-10,203
17,58.0,2025-05-19,203
0,17.0,2025-01-25,27
0,0.0,2025-02-02,27
0,0.0,2025-02-15,27
0,0.0,2025-02-22,27
0,0.0,2025-02-26,27
0,0.0,2025-03-09,27
0,0.0,2025-03-16,27
0,0.0,2025-04-01,27
0,0.0,2025-04-05,27
0,0.0,2025-04-12,27
0,0.0,2025-04-20,27
0,0.0,2025-04-23,27
0,0.0,2025-05-03,27
0,0.0,2025-05-11,27
0,0.0,2025-05-18,27
0,0.0,2025-04-06,712
0,0.0,2025-04-13,712
0,0.0,2025-04-21,712
0,0.0,2025-04-27,712
22,0.0,2025-05-04,712
71,22.0,2025-05-11,712
86,71.0,2025-05-16,712
0,86.0,2024-04-28,712
90,0.0,2023-02-11,266
90,90.0,2023-02-18,266
90,90.0,2023-02-25,266
61,90.0,2023-03-04,266
45,61.0,2023-03-15,266
90,45.0,2023-03-19,266
90,90.0,2023-04-01,266
79,90.0,2023-04-09,266
84,79.0,2023-04-15,266
77,84.0,2023-04-22,266
0,77.0,2023-04-25,266
90,0.0,2023-04-29,266
90,90.0,2023-05-06,266
80,90.0,2023-05-13,266
90,80.0,2023-05-20,266
67,90.0,2023-05-28,266
72,67.0,2025-01-25,249
51,72.0,2025-02-03,249
69,51.0,2025-02-14,249
14,69.0,2025-02-22,249
67,14.0,2025-02-25,249
90,67.0,2025-03-09,249
75,90.0,2025-03-16,249
67,75.0,2025-04-03,249
90,67.0,2025-04-06,249
22,90.0,2025-04-13,249
45,22.0,2025-04-20,249
12,45.0,2025-04-26,249
18,12.0,2025-05-04,249
15,18.0,2025-05-11,249
0,15.0,2025-05-16,249
22,0.0,2023-08-14,249
89,22.0,2022-08-07,249
60,89.0,2023-02-12,249
45,60.0,2023-02-19,249
0,45.0,2023-03-05,249
72,0.0,2023-03-12,249
28,72.0,2023-04-02,249
70,28.0,2023-04-05,249
76,70.0,2023-04-08,249
90,76.0,2023-04-16,249
60,90.0,2023-04-27,249
75,60.0,2023-04-30,249
14,75.0,2023-05-04,249
16,14.0,2023-05-07,249
81,16.0,2023-05-13,249
71,81.0,2023-05-20,249
90,71.0,2023-05-25,249
90,90.0,2023-05-28,249
0,90.0,2025-02-15,155
0,0.0,2025-02-21,155
0,0.0,2025-02-26,155
0,0.0,2025-03-08,155
0,0.0,2025-03-15,155
0,0.0,2025-04-02,155
0,0.0,2025-04-06,155
0,0.0,2025-04-12,155
0,0.0,2025-04-19,155
0,0.0,2025-05-01,155
0,0.0,2025-05-04,155
0,0.0,2025-05-10,155
0,0.0,2025-05-18,155
0,0.0,2025-01-16,167
0,0.0,2025-01-19,167
0,0.0,2025-01-25,167
0,0.0,2025-02-01,167
0,0.0,2025-02-14,167
0,0.0,2025-02-22,167
0,0.0,2025-02-25,167
0,0.0,2025-03-08,167
0,0.0,2025-03-15,167
0,0.0,2025-04-02,167
0,0.0,2025-04-05,167
0,0.0,2025-04-12,167
0,0.0,2025-04-19,167
0,0.0,2025-04-26,167
0,0.0,2025-05-04,167
0,0.0,2025-05-10,167
0,0.0,2025-05-19,167
0,0.0,2022-12-26,167
0,0.0,2023-05-07,167
0,0.0,2023-05-14,167
0,0.0,2023-05-20,167
0,0.0,2023-05-28,167
90,0.0,2025-01-16,183
90,90.0,2025-01-19,183
90,90.0,2025-01-25,183
45,90.0,2025-02-01,183
90,45.0,2025-02-14,183
78,90.0,2025-02-22,183
90,78.0,2025-02-25,183
85,90.0,2025-03-08,183
82,85.0,2025-03-15,183
90,82.0,2025-04-02,183
62,90.0,2025-04-05,183
0,62.0,2025-04-12,183
25,0.0,2025-04-19,183
28,25.0,2025-04-26,183
0,28.0,2025-05-04,183
10,0.0,2025-05-10,183
25,10.0,2025-05-19,183
90,25.0,2025-01-14,611
73,90.0,2025-01-19,611
90,73.0,2025-01-25,611
90,90.0,2025-02-01,611
90,90.0,2025-02-15,611
90,90.0,2025-02-23,611
61,90.0,2025-02-26,611
79,61.0,2025-03-08,611
66,79.0,2025-03-15,611
84,66.0,2025-04-01,611
45,84.0,2025-04-05,611
31,45.0,2025-04-12,611
45,31.0,2025-04-21,611
90,45.0,2025-05-01,611
90,90.0,2025-05-05,611
90,90.0,2025-05-11,611
90,90.0,2025-05-18,611
10,90.0,2023-08-12,611
0,10.0,2024-01-20,611
12,0.0,2024-01-30,611
77,12.0,2024-02-04,611
90,77.0,2024-02-10,611
90,90.0,2024-02-17,611
90,90.0,2024-02-24,611
90,90.0,2024-03-02,611
29,90.0,2024-03-10,611
90,29.0,2024-03-16,611
45,90.0,2024-03-30,611
82,45.0,2024-04-02,611
90,82.0,2024-04-07,611
