,player_id,fpl_api_id,name
0,1,,Fábio Ferreira Vieira
1,2,,Gabriel Fernando de Jesus
2,3,,Gabriel dos Santos Magalhães
3,4,,Kai Havertz
4,5,,Karl Hein
5,6,,Jurriën Timber
6,7,,Jorge Luiz Frello Filho
7,8,,Jakub Kiwior
8,9,,Gabriel Martinelli Silva
9,10,,Ethan Nwaneri
10,11,,Martin Ødegaard
11,12,,David Raya Martin
12,13,,Declan Rice
13,14,,Bukayo Saka
14,15,,William Saliba
15,16,,Thomas Partey
16,17,,Kieran Tierney
17,18,,Tomiyasu Takehiro
18,19,,Leandro Trossard
19,20,,Benjamin White
20,21,,Oleksandr Zinchenko
21,22,,Norberto Murara Neto
22,23,,Raheem Sterling
23,24,,Riccardo Calafiori
24,25,,Myles Lewis-Skelly
25,26,,Mikel Merino
26,27,,Salah-Eddine Oulad M'hand
27,28,,Tommy Setford
28,29,,Maldini Kacurri
29,30,,Ismeal Kabia
30,31,,Josh Nichols
31,32,,Nathan Butler-Oyedeji
32,33,,Mikel Arteta
33,34,,Jack Porter
34,35,,Jimi Gower
35,36,,Jack Henry-Francis
36,37,,Brayden Clarke
37,38,,Leon Bailey
38,39,,Ross Barkley
39,40,,Enzo Barrenechea
40,41,,Emiliano Buendía Stati
41,42,,Matty Cash
42,43,,Leander Dendoncker
43,44,,Moussa Diaby
44,45,,Diego Carlos Santos Silva
45,46,,Lucas Digne
46,47,,Lewis Dobbin
47,48,,Jhon Durán
48,49,,Joe Gauci
49,50,,Kortney Hause
50,51,,Samuel Iling-Junior
51,52,,Boubacar Kamara
52,53,,Kaine Kesler-Hayden
53,54,,Ezri Konsa Ngoyo
54,55,,Ian Maatsen
55,56,,Filip Marschall
56,57,,Emiliano Martínez Romero
57,58,,John McGinn
58,59,,Tyrone Mings
59,60,,Kosta Nedeljković
60,61,,Robin Olsen
61,62,,Pau Torres
62,63,,Jacob Ramsey
63,64,,Morgan Rogers
64,65,,Viljami Sinisalo
65,66,,Lino da Cruz Sousa
66,67,,Youri Tielemans
67,68,,Ollie Watkins
68,69,,Axel Disasi
69,70,,Amadou Onana
70,71,,Marcus Rashford
71,72,,Lamare Bogarde
72,73,,Sil Swinkels
73,74,,Oliwier Zych
74,75,,Kadan Young
75,76,,Ben Broggio
76,77,,Jamaldeen Jimoh
77,78,,Donyell Malen
78,79,,Andrés García
79,80,,Unai Emery
80,81,,Marco Asensio
81,82,,Max Aarons
82,83,,Tyler Adams
83,84,,Jaidon Anthony
84,85,,David Brooks
85,86,,Ryan Christie
86,87,,Lewis Cook
87,88,,Enes Ünal
88,89,,Romain Faivre
89,90,,Hamed Traorè
90,91,,James Hill
91,92,,Daniel Jebbison
92,93,,Milos Kerkez
93,94,,Justin Kluivert
94,95,,Chris Mepham
95,96,,Dango Ouattara
96,97,,Alex Paulsen
97,98,,Philip Billing
98,99,,Alex Scott
99,100,,Antoine Semenyo
100,101,,Marcos Senesi
101,102,,Luis Sinisterra
102,103,,Adam Smith
103,104,,Marcus Tavernier
104,105,,Mark Travers
105,106,,Illia Zabarnyi
106,107,,Kepa Arrizabalaga
107,108,,Dean Huijsen
108,109,,Julián Araujo Zúñiga
109,110,,Will Dennis
110,111,,Francisco Evanilson de Lima Barbosa
111,112,,Max Kinsey
112,113,,Ben Winterburn
113,114,,Archie Harris
114,115,,Remy Rees-Dottin
115,116,,Matai Akinmboni
116,117,,Julio Soler
117,118,,Daniel Adu-Adjei
118,119,,Dominic Sadi
119,120,,Callan McKenna
120,121,,Zain Silcott-Duberry
121,122,,Andoni Iraola
122,123,,Kristoffer Ajer
123,124,,Ethan Brierley
124,125,,Nathan Collins
125,126,,Mikkel Damsgaard
126,127,,Josh Dasilva
127,128,,Mark Flekken
128,129,,Rico Henry
129,130,,Aaron Hickey
130,131,,Vitaly Janelt
131,132,,Mathias Jensen
132,133,,Kim Ji-soo
133,134,,Yunus Emre Konak
134,135,,Keane Lewis-Potter
135,136,,Bryan Mbeumo
136,137,,Ben Mee
137,138,,Christian Nørgaard
138,139,,Frank Onyeka
139,140,,Myles Peart-Harris
140,141,,Ethan Pinnock
141,142,,Mads Roerslev Rasmussen
