,player_id,datetime,minutes,Lynge_CNN1D_DEF,Lynge_FCNN_DEF,Lynge_FCNN_Hard_Sigmoid_DEF,Lynge_RNN_DEF,baseline_DEF,xgboost_DEF
0,8,2023-02-04,0,4,8,13,2,,0.0
1,8,2023-02-25,0,3,5,6,2,0.0,0.0
2,8,2023-03-01,0,1,1,0,2,0.0,0.0
3,8,2023-03-04,0,2,2,0,2,0.0,0.0
4,8,2023-03-12,0,2,1,0,2,0.0,0.0
5,8,2023-03-19,4,2,0,0,2,0.0,0.0
6,8,2023-04-01,0,7,3,0,3,1.0,4.3171
7,8,2023-04-09,10,4,2,0,2,1.0,0.0
8,8,2023-04-16,0,11,10,13,13,3.5,6.629386
9,8,2023-04-21,0,6,7,8,9,3.5,0.0
10,8,2023-04-26,0,4,4,0,2,2.5,0.08
11,8,2023-05-02,90,4,7,8,3,2.5,0.0
12,8,2023-05-07,90,52,57,66,54,22.5,81.89995
13,8,2023-05-14,90,67,71,70,64,45.0,89.99997
14,8,2023-05-20,62,73,75,71,72,67.5,89.99997
15,8,2023-05-28,79,66,71,71,59,83.0,63.01673
16,8,2023-08-12,0,83,77,78,80,80.25,89.99997
17,8,2023-09-17,0,21,16,6,21,57.75,16.49203
18,8,2023-09-24,0,15,16,11,11,35.25,4.108671
19,8,2023-09-30,0,13,14,13,14,19.75,0.604695
20,8,2023-10-08,0,3,4,0,2,0.0,0.0
21,8,2023-10-21,0,1,0,0,3,0.0,0.0
22,8,2023-10-28,90,2,5,4,3,0.0,0.0
23,8,2023-11-04,0,53,49,42,53,22.5,81.89995
24,8,2023-11-11,1,25,24,20,22,22.5,16.49203
25,8,2023-11-25,0,14,18,17,11,22.75,5.0257716
26,8,2023-12-02,1,16,20,18,15,22.75,0.604695
27,8,2023-12-05,63,4,10,6,3,0.5,0.99709994
28,8,2023-12-09,0,40,39,43,45,16.25,41.89133
29,8,2023-12-17,1,15,10,6,20,16.0,2.5
30,8,2023-12-23,0,13,16,13,11,16.25,0.99709994
31,8,2023-12-28,0,10,13,13,11,16.0,0.604695
32,8,2023-12-31,45,3,5,0,2,0.25,0.08
33,8,2024-01-20,9,34,31,30,42,11.5,37.160477
34,8,2024-01-30,1,21,20,12,20,13.5,9.049386
35,8,2024-02-04,45,12,13,16,11,13.75,0.99709994
36,8,2024-02-11,90,40,42,54,44,25.0,37.84517
37,8,2024-02-17,90,61,62,71,63,36.25,89.99997
38,8,2024-02-24,90,74,72,79,74,56.5,89.99997
39,8,2024-03-04,90,80,77,90,76,78.75,89.99997
40,8,2024-03-09,78,84,83,86,78,90.0,89.99997
41,8,2024-03-31,65,76,81,90,68,87.0,89.99997
42,8,2024-04-03,0,67,65,78,67,80.75,66.03345
43,8,2024-04-06,0,40,48,72,41,58.25,3.104695
44,8,2024-04-14,0,19,20,21,25,35.75,0.684695
45,8,2024-04-20,90,12,15,23,10,16.25,0.604695
46,8,2024-04-23,0,51,47,45,53,22.5,81.89995
47,8,2024-04-28,1,24,22,12,21,22.5,16.49203
48,8,2024-05-04,0,12,15,10,12,22.75,5.0257716
49,8,2024-05-12,1,17,19,21,14,22.75,0.604695
50,8,2024-05-19,0,3,3,0,3,0.5,0.99709994
51,8,2024-09-22,16,2,1,0,3,0.5,0.0
52,8,2024-09-28,0,14,14,10,30,4.25,16.114475
53,8,2024-10-05,1,6,8,12,17,4.25,2.5
54,8,2024-10-19,43,6,5,3,5,4.25,0.99709994
55,8,2024-10-27,36,32,26,31,41,15.0,37.160477
56,8,2024-11-02,0,33,28,30,29,20.0,39.660477
57,8,2024-11-10,0,15,17,12,16,20.0,2.5
58,8,2024-11-23,2,10,13,10,12,19.75,0.684695
59,8,2024-11-30,45,9,15,20,5,9.5,1.521795
60,8,2024-12-04,90,34,27,29,42,11.75,37.160477
61,8,2024-12-08,90,60,61,65,62,34.25,89.99997
62,8,2024-12-14,0,67,69,73,69,56.75,89.99997
63,8,2024-12-21,0,36,35,34,43,56.25,21.125393
64,8,2024-12-27,0,24,28,29,26,45.0,4.713367
65,8,2025-01-01,0,14,20,21,13,22.5,0.604695
66,8,2025-01-04,0,1,0,0,2,0.0,0.0
67,8,2025-01-15,0,2,1,0,2,0.0,0.0
68,8,2025-01-18,0,1,1,0,3,0.0,0.0
69,8,2025-01-25,0,2,0,0,3,0.0,0.0
70,8,2025-02-02,0,3,2,0,2,0.0,0.0
71,8,2025-02-15,0,1,0,0,3,0.0,0.0
72,8,2025-02-22,0,3,4,2,2,0.0,0.0
73,8,2025-02-26,0,1,1,0,2,0.0,0.0
74,8,2025-03-09,0,3,1,0,2,0.0,0.0
75,8,2025-03-16,0,2,2,0,3,0.0,0.0
76,8,2025-04-01,74,2,2,0,3,0.0,0.0
77,8,2025-04-05,90,45,42,46,49,18.5,57.710255
78,8,2025-04-12,90,62,63,62,61,41.0,89.99997
79,8,2025-04-20,90,69,71,69,69,63.5,89.99997
80,8,2025-04-23,90,79,81,90,77,86.0,89.99997
81,8,2025-05-03,90,84,74,79,79,90.0,89.99997
82,8,2025-05-11,90,78,68,76,76,90.0,89.99997
83,8,2025-05-18,90,77,76,90,77,90.0,89.99997
84,46,2022-08-06,90,76,70,76,75,,89.99997
85,46,2022-08-31,90,77,80,73,76,90.0,89.99997
86,46,2022-09-03,90,78,85,79,76,90.0,89.99997
87,46,2022-09-16,90,78,76,71,77,90.0,89.99997
88,46,2022-10-29,21,82,81,79,79,90.0,89.99997
89,46,2022-11-06,78,52,56,63,47,72.75,37.239872
90,46,2022-11-13,81,67,65,77,65,69.75,81.44557
91,46,2022-12-26,90,69,71,68,68,67.5,80.97675
92,46,2023-01-01,90,71,67,74,71,67.5,89.99997
93,46,2023-01-04,66,78,79,90,78,84.75,89.99997
94,46,2023-01-13,9,71,75,72,63,81.75,71.027985
95,46,2023-02-04,45,44,53,57,42,63.75,13.682754
96,46,2023-02-12,59,46,47,59,47,52.5,37.84517
97,46,2023-02-18,12,47,46,60,48,44.75,40.26517
98,46,2023-02-25,60,30,26,28,22,31.25,9.049386
99,46,2023-03-04,20,51,48,48,46,44.0,37.84517
100,46,2023-03-12,26,38,38,38,31,37.75,19.219168
101,46,2023-03-18,0,34,30,34,32,29.5,30.3561
