,player_id,datetime,minutes,predmin
0,14,2024-08-17,79,75
1,11,2024-08-17,90,90
2,4,2024-08-17,90,90
3,2,2024-08-17,5,0
4,9,2024-08-17,90,70
5,19,2024-08-17,10,90
6,13,2024-08-17,84,90
7,20,2024-08-17,90,90
8,3,2024-08-17,90,90
9,15,2024-08-17,90,90
10,24,2024-08-17,0,0
11,263,2024-08-17,0,0
12,1,2024-08-17,0,0
13,6,2024-08-17,21,90
14,12,2024-08-17,90,90
15,7,2024-08-17,0,0
16,8,2024-08-17,0,90
17,16,2024-08-17,90,90
18,18,2024-08-17,0,0
19,21,2024-08-17,68,0
20,335,2024-08-17,0,0
21,10,2024-08-17,0,0
22,17,2024-08-17,0,0
23,25,2024-08-17,0,90
24,635,2024-08-17,0,0
25,5,2024-08-17,0,0
26,14,2024-08-24,87,85
27,11,2024-08-24,90,90
28,4,2024-08-24,90,90
29,9,2024-08-24,64,75
30,2,2024-08-24,0,45
31,19,2024-08-24,25,25
32,13,2024-08-24,90,90
33,20,2024-08-24,90,90
34,3,2024-08-24,90,90
35,15,2024-08-24,90,90
36,24,2024-08-24,11,10
37,263,2024-08-24,0,10
38,1,2024-08-24,0,10
39,6,2024-08-24,78,15
40,12,2024-08-24,90,90
41,7,2024-08-24,0,0
42,8,2024-08-24,0,0
43,16,2024-08-24,90,90
44,21,2024-08-24,0,60
45,335,2024-08-24,2,5
46,18,2024-08-24,0,0
47,10,2024-08-24,0,0
48,17,2024-08-24,0,0
49,25,2024-08-24,0,0
50,635,2024-08-24,0,0
51,5,2024-08-24,0,0
52,14,2024-08-31,90,87
53,11,2024-08-31,73,90
54,4,2024-08-31,90,90
55,9,2024-08-31,16,74
56,19,2024-08-31,58,58
57,2,2024-08-31,0,20
58,23,2024-08-31,0,0
59,20,2024-08-31,90,90
60,13,2024-08-31,48,90
61,3,2024-08-31,90,90
62,15,2024-08-31,90,90
63,26,2024-08-31,0,0
64,24,2024-08-31,31,11
65,6,2024-08-31,79,79
66,12,2024-08-31,90,90
67,1,2024-08-31,0,0
68,16,2024-08-31,90,90
69,21,2024-08-31,10,68
70,7,2024-08-31,0,0
71,8,2024-08-31,0,0
72,18,2024-08-31,0,0
73,10,2024-08-31,0,0
74,22,2024-08-31,0,0
75,25,2024-08-31,0,0
76,27,2024-08-31,0,0
77,28,2024-08-31,0,0
78,17,2024-08-31,0,0
79,5,2024-08-31,0,0
80,14,2024-09-15,85,90
81,11,2024-09-15,0,90
82,4,2024-09-15,90,90
